"Persoas segundo a lingua na que falan habitualmente por idade. Galicia e provincias"
""


;;"Numero";;;;
;;"2003";"2008";"2013";"2018";
;A Coruña
"En galego sempre"
;"De 5 a 14 anos  ";27355;15883;14470;20078
;"De 15 a 29 anos  ";70206;42445;35633;30275
;"De 30 a 49 anos  ";121781;79789;87910;95430
;"De 50 a 64 anos  ";95495;74682;82038;87028
;"De 65 ou mais anos   ";140750;118211;124897;140064
;"Total   ";455587;331010;344948;372875
"Máis galego ca castelán"
;"De 5 a 14 anos  ";7168;13052;8318;11392
;"De 15 a 29 anos  ";30909;41212;24274;23670
;"De 30 a 49 anos  ";51850;83139;65351;55926
;"De 50 a 64 anos  ";39569;64735;42060;47613
;"De 65 ou máis anos   ";33406;57115;40231;48277
;"Total   ";162901;259253;180233;186879
"Máis castelán ca galego"
;"De 5 a 14 anos  ";20664;28105;21432;22408
;"De 15 a 29 anos  ";59961;61621;41065;37294
;"De 30 a 49 anos  ";71175;100359;87493;75325
;"De 50 a 64 anos  ";30239;40527;42357;47896
;"De 65 ou máis anos   ";19706;27351;34072;34118
;"Total   ";201746;257965;226418;217041
"En castelán sempre"
;"De 5 a 14 anos  ";31182;25948;42302;39809
;"De 15 a 29 anos  ";65627;44296;54227;45159
;"De 30 a 49 anos  ";77015;80574;110295;98738
;"De 50 a 64 anos  ";32592;36209;54360;55363
;"De 65 ou máis anos   ";24326;25767;38155;41693
;"Total   ";230741;212794;299338;280763
"Total   "
;"De 5 a 14 anos  ";86369;82989;86521;93687
;"De 15 a 29 anos  ";226703;189574;155199;136399
;"De 30 a 49 anos  ";321821;343861;351048;325419
;"De 50 a 64 anos  ";197895;216154;220814;237900
;"De 65 ou máis anos   ";218188;228444;237354;264152
;"Total   ";1050976;1061022;1050938;1057558
;Lugo
"En galego sempre"
;"De 5 a 14 anos  ";9951;4962;4902;5481
;"De 15 a 29 anos  ";25079;13645;12194;12986
;"De 30 a 49 anos  ";50026;28719;29731;30410
;"De 50 a 64 anos  ";40063;29452;27562;39217
;"De 65 ou m�is anos   ";73501;56210;53415;61120
;"Total   ";198620;132989;127804;149214
"M�is galego ca castel�n"
;"De 5 a 14 anos  ";4360;7981;5401;3516
;"De 15 a 29 anos  ";12927;19078;10312;7621
;"De 30 a 49 anos  ";20071;35199;29573;21983
;"De 50 a 64 anos  ";10135;21488;25118;17976
;"De 65 ou m�is anos   ";12729;25266;24114;18621
;"Total   ";60222;109012;94519;69718
"M�is castel�n ca galego"
;"De 5 a 14 anos  ";5766;5996;4232;8665
;"De 15 a 29 anos  ";16491;11948;11196;9007
;"De 30 a 49 anos  ";17422;17057;16369;16722
;"De 50 a 64 anos  ";7260;6894;7003;8456
;"De 65 ou m�is anos   ";5561;6458;4740;6465
;"Total   ";52500;48353;43540;49315
"En castel�n sempre"
;"De 5 a 14 anos  ";4514;2660;5799;4937
;"De 15 a 29 anos  ";9213;8036;8948;8299
;"De 30 a 49 anos  ";7892;13819;15408;17641
;"De 50 a 64 anos  ";3144;5641;7154;6789
;"De 65 ou m�is anos   ";4312;6109;4888;5079
;"Total   ";29074;36265;42197;42745
"Total   "
;"De 5 a 14 anos  ";24590;21599;20334;22599
;"De 15 a 29 anos  ";63709;52707;42650;37912
;"De 30 a 49 anos  ";95411;94794;91081;86756
;"De 50 a 64 anos  ";60603;63475;66837;72440
;"De 65 ou m�is anos   ";96102;94044;87158;91286
;"Total   ";340415;326619;308059;310993
;Ourense
"En galego sempre"
;"De 5 a 14 anos  ";5704;4153;2937;1662
;"De 15 a 29 anos  ";18767;10255;10899;7079
;"De 30 a 49 anos  ";37772;26950;23388;18842
;"De 50 a 64 anos  ";36177;29618;27565;22708
;"De 65 ou m�is anos   ";70218;61044;51176;44282
;"Total   ";168638;132021;115965;94572
"M�is galego ca castel�n"
;"De 5 a 14 anos  ";7842;5811;3934;4393
;"De 15 a 29 anos  ";13836;15619;8027;9233
;"De 30 a 49 anos  ";21956;26605;22182;19132
;"De 50 a 64 anos  ";15475;21088;16608;19835
;"De 65 ou m�is anos   ";14209;22417;20883;31082
;"Total   ";73317;91541;71635;83676
"M�is castel�n ca galego"
;"De 5 a 14 anos  ";4200;6392;5674;6918
;"De 15 a 29 anos  ";15911;14524;11955;11432
;"De 30 a 49 anos  ";11406;17247;21159;19484
;"De 50 a 64 anos  ";3545;6467;10308;13302
;"De 65 ou m�is anos   ";2921;3637;5531;9901
;"Total   ";37983;48267;54627;61036
"En castel�n sempre"
;"De 5 a 14 anos  ";5800;3994;6728;7828
;"De 15 a 29 anos  ";11105;9205;10904;7360
;"De 30 a 49 anos  ";14052;15504;19000;19526
;"De 50 a 64 anos  ";4643;5665;7289;8967
;"De 65 ou m�is anos   ";4529;4481;5824;6283
;"Total   ";40129;38848;49745;49965
"Total   "
;"De 5 a 14 anos  ";23546;20350;19272;20800
;"De 15 a 29 anos  ";59618;49603;41786;35104
;"De 30 a 49 anos  ";85186;86306;85729;76984
;"De 50 a 64 anos  ";59840;62838;61770;64813
;"De 65 ou m�is anos   ";91877;91578;83415;91548
;"Total   ";320068;310676;291971;289249
;Pontevedra
"En galego sempre"
;"De 5 a 14 anos  ";15490;6079;5221;4540
;"De 15 a 29 anos  ";43521;19357;16440;13398
;"De 30 a 49 anos  ";72708;44046;50242;37843
;"De 50 a 64 anos  ";69736;42394;49484;37533
;"De 65 ou m�is anos   ";88370;71401;79055;68695
;"Total   ";289824;183278;200441;162008
"M�is galego ca castel�n"
;"De 5 a 14 anos  ";9202;15643;7188;7059
;"De 15 a 29 anos  ";37743;36400;21639;21577
;"De 30 a 49 anos  ";61605;71399;56179;62162
;"De 50 a 64 anos  ";38249;60654;43820;58804
;"De 65 ou m�is anos   ";28542;43717;38112;63464
;"Total   ";175341;227812;166938;213065
"M�is castel�n ca galego"
;"De 5 a 14 anos  ";24417;29298;26601;28207
;"De 15 a 29 anos  ";66478;57452;48478;45727
;"De 30 a 49 anos  ";64831;83945;95733;106453
;"De 50 a 64 anos  ";22275;35047;39662;52724
;"De 65 ou m�is anos   ";14651;23554;28077;33494
;"Total   ";192653;229296;238550;266604
"En castel�n sempre"
;"De 5 a 14 anos  ";32265;27655;43360;45605
;"De 15 a 29 anos  ";55371;55845;53743;46390
;"De 30 a 49 anos  ";69108;89283;99216;75903
;"De 50 a 64 anos  ";23386;33565;44581;44705
;"De 65 ou m�is anos   ";26247;27352;31873;35398
;"Total   ";206378;233700;272773;248002
"Total   "
;"De 5 a 14 anos  ";81373;78675;82369;85411
;"De 15 a 29 anos  ";203113;169055;140300;127091
;"De 30 a 49 anos  ";268252;288673;301369;282361
;"De 50 a 64 anos  ";153646;171660;177548;193766
;"De 65 ou m�is anos   ";157811;166023;177116;201051
;"Total   ";864195;874086;878702;889680

"IGE. Enquisa estrutural a fogares"
"Nota: os datos fan referencia � poboaci�n de 5 ou m�is anos.<br>Non se incl�e a poboaci�n que non pode falar un idioma na actualidade por enfermidade ou discapacidade.<br>Non se incl�e "Outras situaci�ns": "Galego / castel�n e outras linguas" e "Outras linguas / linguaxe de signos" por falta de tama�o de mostra."

I.G.E. - Instituto Galego de Estat�stica
